1893 World's Colombian Exposition,
Chickering Garden 864 Francisco (Thomas Church Garden),
Chimayo,
Chimney Rock,
Chiswick House,
Château de Chenonceau,
Château de Courances,
Château de Gaillon,
Château de Neuilly. Domaine privé du Roi,
Château de Sceaux,
Château de Villandry,
Claremont,
Clinton Community Garden,
Coimbra,
Colca Valley,
Columbus,
Columbus Garden,
Columbus Park,
Corinth,
Cornerstone Churches,
Court of the Lions,
Crissy Field,
Cuicuilco,
Córdoba,
D&#x00E9;sert de Retz,
Dade County Justice Center,
Dark Star Park,
Delphi,
Dessau-W&#x00F6;rlitz Gartenreich,
Dessau-Wörlitz Gartenreich,
Dhafn&#x00ED;,
Dhafní,
Disneyworld,
Donnell Garden,
Douglas Park,
Drottningholm Palace,
Dumbarton Oaks,
Dvoral Park,
Désert de Retz,
Eckhart Park,
El Morro National Monument,
Elevs&#x00ED;s,
Elevsís,
Emerald Dunes Golf Club,
Emerald Dunes Golf Course,
Emerald Necklace,
Englischer Garten,
Ep&#x00ED;dhavros,
Ephesus,
Epidaurus,
Epídhavros,
Eremitage,
Ermenonville,
Faist&#x00F3;s,
Faistós,
Farnese gardens,
Fatehpur Sikri,
Fellsway,
Fertőd,
Feste de Versailles,
Filoli,
Fioli,
Flamengo Park,
Fontana della Rometta,
Forest Lawn Cemetery,
Fort Union,
Fort Union Drive-In,
Forum,
Fountains Abbey,
Franklin Park,
Fremont Street,
French Modernist garden,
Fuller Park,
Garden Canal,
Garden of Cosmic Speculation,
Garden of Katsura,
Garden of Ninfa,
Garfield Park ,
Garfield Park Conservatory,
Generalife,
Getty Center,
Getty Villa,
Giardino di Ninfa (Italy),
Ginkakuji,
Goethe House,
Golden Gate,
Golden Gate Park,
Governor's Palace and Gardens,
Granada,
Grand Canyon of the Yellowstone,
Great Dixter,
Green-Wood Cemetery,
Green-wood Cemetery,
Griffith Park,
Grotto of Tiberius,
Hadrian's Villa,
Hagia Sophia,
Ham House,
Hampton Court,
Harland Hand Memorial Garden,
Hatfield House,
Heian Jing&#x016B;,
Heian Jingū,
Herculaneum,
Het Loo,
Hibiya Park,
Hidcote Manor,
Hof Van Wallenberg,
Hofwijck,
Honen-in,
Hortus Botanicus,
House of Livia,
House of Pansa,
House of the Vetti,
Hovenweep,
Humayun's Tomb,
Humbolt Park,
Hunnewell Estate,
Huntington Gardens,
Huntington Library and Botanical Gardens,
Il Brolino,
Innisfree,
Irwin Family Garden,
Island triclinium,
Isola Bella,
Itmad-ud-Daula's Tomb,
J. Paul Getty Museum,
Jackson Park,
Jamaica Park,
James Rose Garden,
James Rose Houses,
Jardin de Monceau,
Kasteel Weldam,
Kerameik&#x00F3;s Cemetery,
Kerameikós Cemetery,
Kin Klizhin,
Kiva,
Knoss&#x00F3;s,
Knossós,
La Cienega Graveyard,
La Cueva,
Lake Titicaca,
Lanbroek Wetering,
Land Walls at the Golden Gate,
Las Vegas New Suburb,
Las Vegas Residential Areas,
Lawrenceville School,
Le Bois des Moutiers,
Le Desert de Retz,
Les Bois des Moutiers,
Les Tuileries,
Lincoln Park,
Little Sparta,
Liu Yuan (Garden to Linger In),
Lockwood de Forest Garden,
London,
Longwood Bridge,
Lotusland,
Lower Portrack,
Lucca,
Luiz Cezar Fernandes Garden,
Lunenburg,
Lusthuysen en Gesigten,
Luton Hoo,
Luxembourg Gardens,
Luxor,
MGM Grand,
MGM Studios,
Machu Picchu,
Magazijn van tuin-sieraaden,
Magnesia ad Meander,
Manitoga,
Mehtab Bagh,
Menhirs,
Meridian Hill Park,
Mesa Verde,
Mien Ruys Gardens,
Miletus,
Mill Race Park,
Miller House,
Ministry of Education,
Mission Santa Barbara,
Mitla,
Monte Alb&#x00E1;n,
Monte Albán,
Monte Carlo,
Monte Palatine,
Monticello,
Moraine Farm,
Mount Ida,
Mt. Auburn Cemetery,
Mt. Auburn Cemetery ,
Mycenae,
Nanzen-ji,
Nara,
National Geographic Society Headquarters,
Naumkeag,
Nazca,
Neon Signs,
New Mexico Scenic,
New York - New York,
Nishat Bagh,
North Christian Church,
Nuclear Sail,
Nymans Garden,
Nymphenburg Palace,
Observatory,
Octagon Earthworks,
Olympia,
Oplontis,
Oxford Botanic Garden,
P&#x00E8;re-Lachaise Cemetery,
Paestum,
Painshill,
Pal&#x00E1;cio dos Marqueses de Fronteira,
Palace of Caserta,
Palace of Fine Arts,
Palace of Queluz,
Palazzo Farnese,
Palazzo Montalto,
Palazzo Reale,
Palazzo Venezia,
Palazzo di Caprarola,
Palácio dos Marqueses de Fronteira,
Parc Andr&#x00E9; Citro&#x00EB;n,
Parc André Citroën,
Parc Monceau,
Parc Montsouris,
Parc de Saint-Cloud,
Parc de Sceaux,
Parc de la Ciutadella,
Parc de la Villette,
Parc des Buttes-Chaumont,
Paris (plan),
Park G&#x00FC;ell,
Park Güell,
Park Jurjaves,
Park von Muskau,
Parque de Montjuich,
Passeig de Gracia,
Pat Forster Garden (Thomas Church Garden),
Patio de los Naranjos,
Pearl Kiosk,
Pergamum,
Petroglyph National Park,
Phaistos,
Philip A. Hart Plaza,
Piazza San Marco (Venice, Italy),
Piazza del Campidoglio,
Piazza del Campo,
Piazzo Barberini,
Pie Town/Roadside House,
Pinewood,
Pla&#x00E7;a Reial,
Place V&#x00EA;ndome,
Place Vêndome,
Place de Vosges,
Place de la Bastille,
Place des Vosges,
Plaça Reial,
Pomata,
Pompeii,
Poplar Forest,
Potsdam,
Potsdamer Platz,
Priene,
Procuratie Vecchie (Venice, Italy) ,
Prospect Park,
Public Gardens,
Pueblo Bonito,
Père-Lachaise Cemetery,
Qianlong Garden, Forbidden City,
Quinta da Balcalhoa,
Quirinale Gardens,
Qutub Minar,
Rancho Los Alamitos,
Rancho de Taos,
Red Fort of Agra,
Residenz,
Revival Field,
Rievaulx Terrace,
Rings,
Riverside,
Riverway,
Roadside Scenery East of Santa Fe,
Roden Crater Project,
Rousham,
Royal Horticultural Society Garden,
Royal Pavilion,
Ruby Ranch,
Running Fence,
Ry&#x014D;an-ji,
Rydal Hall,
Ryōan-ji,
S&#x00ED;tio Roberto Burle Marx,
Sacro Bosco,
Sacromonte,
Saihoji Temple,
San Antonio Riverwalk,
San Geronimo Church,
San Giovanni in Laterano,
San Jose de Gracia,
San Ysidro,
Sanspariel Rock Garden,
Sanssouci,
Santa Barbara Botanical Garden,
Santa Cecilia,
Santa Chiara,
Santi Quattro Coronati,
Santo Domingo,
Scaur Water,
Sch&#x00F6;nbrunn,
Schönbrunn,
Sea World,
Seaside,
Selinunte,
Sent&#x014D;-gosho,
Sentō-gosho,
Seville,
Sezincote,
Shalimar Bagh,
Sherman Park,
Shisen-d&#x014D;,
Shisen-do,
Shisen-dō,
Shugakuin Riky&#x016B;,
Shugakuin Rikyū,
Sissinghurst Castle Garden,
So&#x00FA;nion,
South Park,
Soúnion,
Spiral Jetty,
Star Axis,
Stonehenge,
Stourhead,
Stowe,
Stowe Landscape Gardens,
Streetscape,
Studley Royal,
Sturbridge,
Sun Tunnels,
Surrounded Islands,
Sítio Roberto Burle Marx,
Taj Mahal,
Taos Pueblo,
Tegea,
Temple of Apollo,
Temple of Vesta,
Teoria dei giardini,
Teotihuac&#x00E1;n,
Teotihuacán,
The Fens,
The Gates,
The Lightning Field,
The Riverway,
The Sea Ranch,
The Strip,
Thomas Mudd Garden,
Thomas Mudd Garden (Thomas Church Garden),
Tiergarten,
Til&#x00ED;ssos,
Tilíssos,
Tiyrns,
Toledo,
Topkapı Palace,
Tower Grove Park,
Troy,
Truchas,
Tuileries,
Tula,
Ueno Park,
Universal Studios,
Universty of Virginia,
Untitled reclamation project,
Up and Under,
Valley Curtain,
Van Strumm Garden (Thomas Church Garden),
Vatican Gardens,
Vatican: Belvedere Court,
Veitsch&#x00F6;hheim,
Veitschöhheim,
Veitsh&#x00F6;chheim,
Veitshöchheim,
Venacular Landscapes,
Venice,
Very Large Array (VLA),
Via Sacra,
Vietnam Veterans National Memorial,
Vietnam War Memorial,
Viktoriapark,
Vila la Pietra (Florence, Italy),
Villa Aldobrandini,
Villa Borghese,
Villa Corsi Salviati,
Villa D'Este,
Villa D'Este ,
Villa Doria Pamphili,
Villa Farnese,
Villa Farnesina,
Villa Gamberaia,
Villa Gamberaia (Florence, Italy),
Villa Garzoni,
Villa Garzoni (Collodi, Italy),
Villa Giulia,
Villa Giulia ( Rome, Italy),
Villa Giulia (Rome, Italy),
Villa I Tatti,
Villa I Tatti (Florence, Italy),
Villa La Balze,
Villa La Foce,
Villa La Foce (Chiusi, Italy),
Villa La Pietra,
Villa Lante,
Villa Madama,
Villa Marlia,
Villa Medici,
Villa Medici di Castello,
Villa Palazzine,
Villa Petraia,
Villa Pia,
Villa Reale,
Villa Reale Marlia,
Villa Sciarra,
Villa Torigianni,
Villa Torlonia,
Villa Torrigiani,
Villa Vizcaya,
Villa d' Este,
Villa d'Este,
Villa del Priorato di Malta (Grand Priory in Rome of the Sovereign Military Order of Malta),
Villa del Trebbio,
Villa di Careggi,
Villa di Pratolino,
Villa di Vico Bello,
Villa of the Mysteries,
Vizcaya,
W&#x00F6;rlitz,
W.W. Hein (Thomas Church Garden),
Walls of Constantine,
Washington Park,
Wave Field,
Wellesley Campus,
Wellesley College,
Wellington Henderson Garden (Thomas Church Garden),
Wilton House,
Wordsworth House in Cockermouth,
Wrapped Pont Neuf,
Wrapped Reichstag,
Wörlitz,
Xochimilco,
Yanque,
Yi He Yuan (Garden of Ease and Harmony),
Yosemite National Park,
Yuan Ming Yuan (Garden of Perfect Brightness),
Zwinger,
