 
 Giacomo della Porta
1511-1592
1532 or 1533-1602 or 1604
1591-1667
1621-1691
1638-1695
1640 or 1643-1678
1650-circa 1710
Gabriel Jean Antoine Davioud
Gabriel Perelle
Ganna Walska
Georg Wenceslaus von Knobelsdorff
Georg Wenceslaus von Knobelsdorff 
George Burnap
George Fox Steedman
George Hargreaves
George Washington Smith
George-Louis Le Rouge
Gertrude Jekyll
Giacomo del Duca
Giacomo della Porta
Giambologna
Giambologna 
Gilles Cl&#x00E9;ment
Gilles Clément
Giorgio Vasari
Giovanni Battista Falda
Giovanni Battista Piranesi
Giovanni Fontana
Giovanni Francesco Grimaldi
Giovanni Francesco Venturini
Giovanni Guerra
Giovanni Vasanzio
Giovanni da Udine
Girolamo Rainaldi
Giulio Parigi
Giulio Romano
Go-Mizunoo
Griffith J. Griffith
Guangxu Emperor
H. S. Ciolkowski
H.A.S. Dearborn, Politician
Harland Hand
Henri Duch&#x00EA;ne
Henri Duchêne
Henry Evelyn Pierrepont
Henry Flitcroft
Henry Hoare
Henry Huntington
Henry IV, King of France
Henry Moore
Hermann von P&#x00FC;ckler-Muskau
Hermann von Pückler-Muskau
Hippodamos of Miletos
Horace Peaslee
Horace Walpole, 4th Earl of Orford
Hubert Robert
Hugh M. Garden, Architect
Hugo Anne Cornelis Poortman
Humphrey Repton
Humphry Repton
Ian Hamilton Finlay
Iris Origo
Isabella Worn
Isabelle Greene
Isamu Noguchi
Ishikawa J&#x014D;zan
Ishikawa Jōzan
Isra&#x00EB;l Silvestre
Israël Silvestre
Italian
J. Merigot
J. Paul Getty
J. W. Winder
Jacob Bigelow
Jacob Gole
Jacob Pietersz. Roman
Jacob van Campen
Jacopo da Vignola
Jacques Androuet Du Cerceau the Elder
Jacques Ange Gabriel
Jacques Boyceau
Jacques Gondoin
Jacques Wirtz
James Deering
James Gibbs
James Gurney Sr., Architect
James Rose
James Rose, Landscape Architect
James Smillie
James Thomson
James Turrell
Jean Baptise Colbert
Jean Charles Adolphe Alphand
Jean Nicholas Jadot, Baron de Ville-Issey
Jean Tuby, the elder
Jean-Antoine Alavoine
Jean-Baptiste Lep&#x00E8;re
Jean-Baptiste Lepère
Jean-Charles Fran&#x00E7;ois
Jean-Charles François
Jean-Claude Nicolas Forestier
Jens Jensen, Architect
Joachim Carvallo
Johann Bernhard Fischer von Erlach
Johann David R&#x00E4;ntz
Johann David Räntz
Johann Friedrich Eyserbeck
Johann George Schoch
Johann Lucas von Hildebrandt
Johann Peter Alexander Wagner
Johann Prokop Mayer
John Aislabie
John Andrew Graefer
John Claudius Loudon
John Evelyn
John McLaren
John Nash
John Tradescant the Elder
John Tradescant the elder
John Vanbrugh
John van Nost II
Jorge Silvetti
Jorge Silvetti 
Josep Fontser&#x00E8; i Mestres
Josep Fontserè i Mestres
Joseph L. Silsbee, Architect
Jules Hardouin Mansart 
Karl Friedrich Schinkel
Kobori Ensh&#x016B;
Kobori Enshū
Lawrence Halprin
Lawrence Johnston
Lawrence Waterbury Johnston
Lester Collins
Lockwood de Forest
Lockwood de Forest Jr.
Lockwood de Forest, Jr. 
Lorenz Scherm
Louis Le Vau
Louis de Carmontelle
Louis-Ren&#x00E9; Girardin
Louis-René Girardin
Lucius Gellius
Luigi Vanvitelli
Luis Var&#x00E9;
Luis Varé
M.A. Henry
Mabel Choate
Maggie Keswick
Marchese Scipione Capponi
Martin Milmore
Martin Puryear
Marty Skylar
Mateus Vicente de Oliveira
Matthaus Daniel Poppelmann
Maya Ying Lin
McKim, Mead and White, Architectural Firm
Medici family
Mel Chin
Michael Heizer
Michael Van Valkenburgh, landscape architect
Michel Le Bouteux
Michelangelo Buonarroti
Michelozzo di Bartolomeo
Mien Ruys
Mikl&#x00F3;s Esterh&#x00E1;zy
Miklós Esterházy
Mildred Barnes Bliss
Nancy Louise Holt
Niccol&#x00F2; Tribolo
Niccolò Tribolo
Nicholas Hawksmoor
Nicholas Stone
Nicodemus Tessin the Elder
Nicodemus Tessin the Younger
Ogawa Jihei
Oliviero Orsetti
Olmsted Brothers, Landscape Architects
Orsetti family
Ottaviano Diodati
Otto Walter Beck
P. Decker
Pacello de Mercogliano
Paul Chalfin
Peter Joseph Lenn&#x00E9;
Peter Joseph Lenné
Peter Scheemakers
Phidias
Philibert de L'Orme
Pier Francesco Orsini
Pierre-Fran&#x00E7;ois-L&#x00E9;onard Fontaine
Pierre-François-Léonard Fontaine
Piet Oudolf
Pietro Bernini
Pirro Ligorio
Polykleitos
Prince Toshitada
Princess Ghyka
Qianlong Emperor
Raffaellino da Reggio
Ralph Adams Cram, Architect
Ralph Stevens
Ralph T. Stevens
Randy Bright
Raphael
Richard Boyle, 3rd Earl of Burlington
Richard Meier
Richard Mique
Richard Morris Hunt, Architect
Richard Payne Knight
Richard Upjohn 
Robert Adam
Robert Castell
Robert Cecil, Earl of Salisbury
Robert Hart
Robert Hinshelwood
Robert Irwin
Robert Morris
Robert Smithson
Robert Yudell
Roberto Burle Marx
Rodolfo Machado
Rosemary Verey
Russel Wright
Salomon de Brosse
Salomon de Caus
Samuel Pepys Cockerell I
Scipione Borghese
Sim&#x00E9;on Godeau
Siméon Godeau
Stoldo di Gino Lorenzi
Thomas Blaikie
Thomas Dolliver Church
Thomas Duncombe
Thomas Fazio, Golf Course Architect
Thomas Jefferson
Thomas Mawson
Thomas Moran
Thomas Robinson
Thomas Roscoe
Tommaso Francini
Tommaso Mattei
Veldon Simpson, Architect
Vincenzo Jerace
Vincenzo Pacetti
Vita Sackville-West
Vivant Denon
Walt Disney
Walter De Maria
Wiliam Hammond Hall
Willem Swidde
William Chambers
William Cullen Bryant
William Gilpin
William Hertrich
William Kent
William Le Baron Jenney, Architect
William Radclyffe
William Watts
William Wordsworth
William Wrighte
Willis Jefferson Polk
Xu Shitai
Zanobi Lapi
active circa 1568-1580
architect
artist
circa 1500-1583
circa 1627-1691
engraver (printmaker)
garden designer
landscape architect
lcnaf
local
null
painter
patron
printmaker
sculptor
ulan
